symbol,signal_date,entry_date,exit_date,entry_price,exit_price,stop_price,target_price,quantity,exit_reason,gross_pnl,costs,tax_reserve,after_tax_net_pnl,return_pct,holding_sessions,mfe_pct,mae_pct,decision_hash
HAL,2024-03-14,2024-03-15,2024-03-15,3164.95,3017.05,3017.05,3460.75,63,STOP,-9317.7,438.6621,0.0,-9756.3621,-4.8931,1,0.5561,-5.0222,b3ecdf55b67d8c8c2e9dbcae22a2a54620322a6704959bc878c5786316013c0a
ADANIPOWER,2024-04-30,2024-05-02,2024-05-06,618.0,594.25,594.25,665.5,323,STOP,-7671.25,439.1508,0.0,-8110.4008,-4.063,3,1.068,-6.4725,362c3017ba6f2c166aaf8afa4b3db46d0212f92b3b19c492f4c838b83c30f305
VEDL,2024-05-31,2024-06-03,2024-06-04,472.0,440.0,440.0,536.0,423,STOP,-13536.0,439.2432,0.0,-13975.2432,-6.9997,2,0.0424,-22.3941,0b43a41acb394843642d6fdf99083b5e55b24737ec03d40d2344accb060b4250
BEL,2024-06-07,2024-06-10,2024-06-24,288.9,309.75,268.7,329.3,692,TIMEOUT,14428.2,439.8214,4895.9325,9092.4461,4.5481,10,11.1111,-2.6999,4b091cacb0d438a95be273c473e1349f82ea8cebdc3e7d0e3c0b8ea5f3574006
HAL,2024-06-07,2024-06-10,2024-06-18,4800.0,5300.0,4550.0,5300.0,41,TARGET,20500.0,432.96,7023.464,13043.576,6.6278,6,15.9792,-1.0094,2628e3fa06565a10bb4e6fe6ccc0362a54cb7358039a6f6bd1fd0993a301ff6d
SHRIRAMFIN,2024-07-15,2024-07-16,2024-07-16,2886.9,2807.2,2807.2,3046.3,69,STOP,-5499.3,438.2314,0.0,-5937.5314,-2.9807,1,0.4538,-2.9409,70e376c0541b10e1c880d4f54dcd1b453d1c64c3856b5836860e7d5ee111e8e0
LODHA,2024-12-30,2024-12-31,2024-12-31,1395.0,1373.45,1373.45,1438.1,143,STOP,-3081.65,438.867,0.0,-3520.517,-1.7648,1,0.4695,-3.1398,4cf557f906deb02d2c8453eddf62fd32acf367179e4346b1b0b534fa6b036123
KOTAKBANK,2025-04-11,2025-04-15,2025-04-29,2145.0,2205.0,2058.5,2318.0,93,TIMEOUT,5580.0,438.867,1799.3965,3341.7365,1.6752,10,7.3147,-2.2051,bb995367373930865c5b18dd8ddecdd5e1918862e232eaba24dd8463584bb0ef
ADANIENSOL,2025-06-06,2025-06-09,2025-06-10,888.5,920.6,872.45,920.6,225,TARGET,7222.5,439.8075,2373.9424,4408.7501,2.2053,2,3.6579,-1.4069,4374bee5e7aa94f2905f02600d00d431de5272be1b12beefc6152bb1bc48eec5
TATASTEEL,2025-07-18,2025-07-21,2025-07-28,162.5,160.1,160.1,167.3,1230,STOP,-2952.0,439.725,0.0,-3391.725,-1.6969,6,1.9077,-2.0985,aed3451399aed484457e8d38c3f15e8e04860a397ef0be66c05ea3855d4bf3fe
VEDL,2026-04-27,2026-04-28,2026-04-30,747.0,720.55,720.55,799.9,267,STOP,-7062.15,438.7878,0.0,-7500.9378,-3.7608,3,4.4177,-64.0295,93e354a5894911d3eee219cc17239c25222377e0c190619ea229cff6522556c8
SHRIRAMFIN,2026-05-06,2026-05-07,2026-05-11,1009.0,976.05,976.05,1074.9,198,STOP,-6524.1,439.5204,0.0,-6963.6204,-3.4856,3,1.4618,-3.8206,e818d3b19165dd0c5f6b53d0f1f3dda9a05cb6e8512372f97ef590a063ef4d59
PFC,2026-05-08,2026-05-11,2026-05-11,457.0,455.55,455.55,459.9,437,STOP,-633.65,439.3598,0.0,-1073.0098,-0.5373,1,0.5361,-2.1007,41078e54b6d00b911232bad97188f836cb07ac564dc9495f5f0b8191eeb52ba0
