signal_date,symbol,sector,selected_direction,directional_edge,ofactor_long,ofactor_short,xfactor_score,decision_code,setup_state,data_quality_score,data_permission,hard_gates,stock_primary_trend,nifty_primary_trend,vix_regime,close_price,rsi_14,willr_14,close_vs_ema61_pct,volume_vs_sma20,macd_line_pct_close,atr14,o_long_market_regime_support,o_short_market_regime_support,x_long_entry_location_quality,x_long_stop_invalidation_quality,x_long_market_sector_synchronisation,x_short_entry_location_quality,x_short_stop_invalidation_quality,x_short_market_sector_synchronisation,daily_level,canonical_status,qualified
2024-10-10,TATASTEEL,Metals & Mining,LONG,25.4365,60.1241,34.6876,85.8999,ENTERABLE_TIER_B,TRIGGERED,98.5,FULL,,UPWARD,SIDEWAYS,LOW,159.72,51.20209001304141,-53.558627752176186,0.4819963023976347,0.7944858431573201,1.354896724033611,4.729285714285711,48.5807,51.4193,93.1843,73.6112,74.2904,93.1843,87.6514,25.7096,LOW,RESEARCH_ONLY_NO_STANDARD_TRADE,False
2024-10-11,LAURUSLABS,Healthcare,LONG,8.2801,57.889,49.6089,81.0251,ENTERABLE_TIER_B,TRIGGERED,97.2931,FULL,,,SIDEWAYS,LOW,474.15,54.75832557811599,-7.192118226601052,3.12217649655064,1.9359167708848428,-0.7401603275769449,13.60357142857142,51.5317,48.4683,72.6542,76.3297,56.0965,72.6542,89.2675,43.9035,LOW,RESEARCH_ONLY_NO_STANDARD_TRADE,False
2024-10-11,SAIL,Metals & Mining,LONG,29.6022,63.7427,34.1405,85.7012,ENTERABLE_TIER_B,TRIGGERED,97.2931,FULL,,,SIDEWAYS,LOW,134.03,50.20982791579237,-57.457627118644034,-1.8232634067592133,0.8823344860836977,-0.1120345721993482,5.140714285714286,51.5317,48.4683,95.3897,68.4091,75.7659,95.3897,91.5187,24.2341,LOW,RESEARCH_ONLY_NO_STANDARD_TRADE,False
2024-10-11,TATASTEEL,Metals & Mining,LONG,23.1577,59.5211,36.3634,86.6135,ENTERABLE_TIER_B,TRIGGERED,98.5,FULL,,UPWARD,SIDEWAYS,LOW,160.66,53.12761121432041,-54.77560414269282,1.0383787772574735,0.9256443657517094,1.2091829162084724,4.784999999999997,51.5317,48.4683,86.3811,87.7952,75.7659,86.3811,73.9185,24.2341,LOW,RESEARCH_ONLY_NO_STANDARD_TRADE,False
2024-10-14,CLEAN,OTHER,LONG,19.1638,55.4292,36.2654,70.7915,ENTERABLE_TIER_B,TRIGGERED,97.2931,FULL,,,SIDEWAYS,LOW,1587.45,55.50864477124474,-34.88731089842543,3.5588780520288013,0.9132419157611472,0.4174679061493452,50.93928571428574,41.4349,58.5651,64.6344,71.8096,41.3055,64.6344,93.2861,58.6945,LOW,RESEARCH_ONLY_NO_STANDARD_TRADE,False
2024-10-14,DOMS,OTHER,LONG,25.5346,55.8312,30.2966,66.4432,ENTERABLE_TIER_B,TRIGGERED,97.2931,FULL,,,SIDEWAYS,LOW,2789.9,58.94347525939892,-6.370757180156682,10.519204686855367,0.9812347220657348,0.935646664592489,115.95357142857128,41.4349,58.5651,41.6979,63.4854,41.3055,41.6979,91.5828,58.6945,LOW,RESEARCH_ONLY_NO_STANDARD_TRADE,False
2024-10-14,INDIAMART,OTHER,LONG,12.0712,57.0293,44.9581,76.3608,ENTERABLE_TIER_B,TRIGGERED,97.2931,FULL,,,SIDEWAYS,LOW,3030.0,55.12088067990616,-20.46783625730994,3.793816101910119,2.826842765742969,0.0586022372492674,94.83928571428564,41.4349,58.5651,58.4859,70.7505,41.3055,58.4859,70.4764,58.6945,LOW,RESEARCH_ONLY_NO_STANDARD_TRADE,False
2024-10-15,AJANTPHARM,Healthcare,LONG,11.1518,52.1149,40.9631,79.5198,ENTERABLE_TIER_B,TRIGGERED,97.2931,FULL,,,SIDEWAYS,LOW,3299.9,53.54913290439495,-43.26971795304841,7.934118625492046,0.8172589332309299,1.53291505582064,130.9392857142857,40.1685,59.8315,78.2406,83.962,51.6351,78.2406,86.2226,48.3649,LOW,RESEARCH_ONLY_NO_STANDARD_TRADE,False
2024-10-15,APOLLOHOSP,Healthcare,LONG,25.4281,63.8286,38.4005,75.8554,ENTERABLE_TIER_B,TRIGGERED,98.5,FULL,,SIDEWAYS,SIDEWAYS,LOW,7140.15,59.06874194946701,-29.98643147896885,4.624341907489776,0.9137418092262836,0.4685409410034679,152.98928571428567,40.1685,59.8315,58.0265,73.8152,51.6351,58.0265,97.3331,48.3649,LOW,RESEARCH_ONLY_NO_STANDARD_TRADE,False
2024-10-15,CESC,OTHER,LONG,11.5694,52.9329,41.3635,81.7899,ENTERABLE_TIER_B,TRIGGERED,97.2931,FULL,,,SIDEWAYS,LOW,194.2,52.48484601744656,-54.793289394847285,4.67692977338746,0.8680491851401734,-0.3584862525356825,8.189285714285713,40.1685,59.8315,94.6963,69.4235,43.3154,94.6963,90.3288,56.6846,LOW,RESEARCH_ONLY_NO_STANDARD_TRADE,False
