symbol,sector,signal_date,daily_level,decision_code,setup_state,ofactor_long,xfactor_score,directional_edge,data_quality_score,daily_rsi14,daily_willr14,close_vs_ema61_pct,macd_line_pct_close,atr14,volume_vs_sma20,nifty_regime,stock_regime,vix_regime,entry_ts,entry_price,entry_rsi14,entry_willr14,quantity,exit_state,exit_ts,exit_price,gross_pnl,transaction_costs,net_before_tax,tax_provision,after_tax_pnl,i030_hit,i050_hit,i070_hit,s100_d5_hit,s200_d5_hit,s500_d5_hit,intraday_mfe_pct,intraday_mae_pct,d5_mfe_pct,d5_mae_pct,h30_mfe_pct,h30_mae_pct,d5_sessions,h30_sessions,actual_holding_minutes,actual_holding_sessions
BSE,Financial Services,2024-02-27,MEDIUM,ENTERABLE_TIER_B,TRIGGERED,79.8654,79.6598,53.9703,97.2931,56.69135912131146,-42.539219263042696,7.05807873554414,-0.1589536061162512,97.53928571428573,1.481417769165822,SIDEWAYS,,NORMAL,2024-02-27 09:55:00+05:30,764.5,29.629629629629637,-100.0,261,CLOSED_INTRADAY,2024-02-27 11:14:00+05:30,766.7934999999999,598.6034999999739,292.21324487652095,306.3902551234529,107.23658929320852,199.1536658302444,True,True,True,True,True,True,5.035971223021574,-0.5886200130804431,5.49378678875081,-0.8502289077828684,28.8423806409418,-15.369522563767168,6,31,79.0,1
CESC,OTHER,2024-07-30,LOW,ENTERABLE_TIER_B,TRIGGERED,76.4941,88.1268,44.606,97.2931,56.34117183440778,-50.972364380757405,9.269705792821345,1.6173658523842322,8.677857142857139,1.8698941261119104,TRANSITION,,LOW,2024-07-30 09:49:00+05:30,163.26,25.821596244131698,-100.0,1225,CLOSED_INTRADAY,2024-07-30 09:56:00+05:30,163.74978,599.9805,292.776862092583,307.203637907417,107.52127326759594,199.68236463982103,True,True,True,True,True,True,1.5986769570011106,-1.4945485728286134,5.2860467965208935,-4.0671321817958965,20.81955163542817,-4.0671321817958965,6,31,7.0,1
CHENNPETRO,OTHER,2025-06-11,LOW,ENTERABLE_TIER_B,TRIGGERED,78.3315,81.0835,48.7428,97.2931,58.682003936308895,-59.15104740904082,7.97504090433778,1.3328925378790275,22.11785714285714,2.169842943023972,SIDEWAYS,,LOW,2025-06-11 10:08:00+05:30,692.6,17.625899280575226,-100.0,288,CLOSED_SWING,2025-06-23 12:51:00+05:30,699.5260000000001,1994.6880000000288,293.58108116492804,1701.1069188351007,595.3874215922852,1105.7194972428156,False,False,False,False,False,False,0.1010684377707127,-1.6748483973433426,0.1010684377707127,-10.316199826739824,15.463470978920023,-12.922321686399076,6,31,17443.0,9
COALINDIA,Oil Gas & Consumable Fuels,2024-01-19,MEDIUM,ENTERABLE_TIER_B,TRIGGERED,76.3213,84.0039,45.461,98.5,59.007392053323045,-45.24236983842015,9.157159958721776,1.84545707873746,8.97142857142857,1.2977917567307258,SIDEWAYS,UPWARD,LOW,2024-01-19 09:59:00+05:30,358.7,27.77777777777889,-87.17948717948711,557,CLOSED_INTRADAY,2024-01-19 10:35:00+05:30,359.7761,599.387699999961,292.53422426710614,306.85347573285486,107.3987165064992,199.4547592263557,True,True,True,True,True,True,0.7109004739336511,-0.4321159743518321,8.851407861722894,-2.188458321717301,27.65542235851686,-2.188458321717301,6,31,36.0,1
COALINDIA,Oil Gas & Consumable Fuels,2024-02-22,LOW,ENTERABLE_TIER_B,TRIGGERED,75.0284,84.122,53.5213,98.5,55.44058642337064,-60.21276595744688,12.183939798168366,3.7103876991670353,21.517857142857142,1.0943454521113416,TRANSITION,UPWARD,NORMAL,2024-02-22 09:30:00+05:30,404.7,25.27472527472503,-94.2857142857138,494,CLOSED_INTRADAY,2024-02-22 09:40:00+05:30,405.9141,599.7653999999802,292.6888199261524,307.07658007382787,107.47680302583976,199.5997770479881,True,True,True,True,True,False,3.9535458364220455,-0.704225352112664,4.32419075858661,-0.704225352112664,7.981220657276999,-6.906350382999749,6,31,10.0,1
COFORGE,Information Technology,2024-02-02,MEDIUM,ENTERABLE_TIER_B,TRIGGERED,77.6626,78.1504,53.1738,97.2931,57.506101025720746,-52.9831718510963,7.202486522529624,0.8303511426058836,212.8571428571428,1.1378554454676693,SIDEWAYS,,LOW,2024-02-02 10:43:00+05:30,1272.5,21.73913043478261,-100.0,157,CLOSED_INTRADAY,2024-02-02 11:33:00+05:30,1276.3175,599.3474999999843,292.517770082585,306.82972991739933,107.39040547108976,199.4393244463096,True,True,True,True,True,False,1.6895874263261224,-0.4715127701375277,4.75442043222003,-0.4715127701375277,7.622789783889972,-10.96267190569744,6,31,50.0,1
CONCOR,Services,2024-01-31,LOW,ENTERABLE_TIER_B,TRIGGERED,74.938,80.6043,45.6051,97.2931,56.92132608981827,-28.265107212475627,7.4743465365793345,0.4406403504245504,35.2607142857143,1.2869729306549476,SIDEWAYS,,NORMAL,2024-01-31 10:23:00+05:30,701.75,27.45098039215684,-81.48148148148141,285,CLOSED_INTRADAY,2024-01-31 10:23:00+05:30,703.85525,599.99625,292.7833086947275,307.2129413052725,107.52452945684536,199.68841184842717,True,True,True,True,True,True,1.6886355539722064,-0.0926255789098662,8.51442821517634,-0.5201282508015659,17.14998218738868,-2.7431421446384,6,31,0.0,1
CONCOR,Services,2024-02-29,LOW,ENTERABLE_TIER_B,TRIGGERED,78.4519,76.8382,52.4194,97.2931,57.389094244835256,-37.598204264870986,9.241795633875448,2.600418511516249,34.69999999999999,1.4199456088950386,SIDEWAYS,,NORMAL,2024-02-29 09:22:00+05:30,758.65,29.59770114942546,-91.66666666666684,263,CLOSED_INTRADAY,2024-02-29 09:24:00+05:30,760.92595,598.57485,292.2015182002391,306.3733317997609,107.23066612991632,199.14266566984455,True,True,True,True,True,False,3.934620707836301,-0.3493046859553095,4.475054372899234,-0.3493046859553095,4.475054372899234,-13.589929479997364,6,31,2.0,1
CONCOR,Services,2024-06-11,LOW,ENTERABLE_TIER_B,TRIGGERED,80.7255,85.6639,55.9399,97.2931,54.55945111189571,-30.80521216171068,7.921911600142134,0.9926860599641282,64.74285714285713,1.1650193852625108,UPWARD,,LOW,2024-06-11 12:00:00+05:30,871.35,28.571428571427543,-93.10344827586016,229,CLOSED_INTRADAY,2024-06-11 12:42:00+05:30,873.9640499999999,598.6174499999771,292.2189547241347,306.39849527584244,107.23947334654486,199.1590219292976,True,True,False,True,True,True,0.6713720089516206,-0.2869111149365944,5.893154300797621,-0.2869111149365944,5.893154300797621,-9.227061456360818,6,31,42.0,1
CREDITACC,OTHER,2023-11-24,MEDIUM,ENTERABLE_TIER_B,TRIGGERED,75.5251,84.6909,49.4936,97.2931,58.58961241813065,-40.97965738758028,10.9586357868918,3.017059918238336,61.946428571428605,1.3169821907753296,TRANSITION,,LOW,2023-11-24 09:37:00+05:30,1701.35,26.71328671328629,-90.98360655737775,117,CLOSED_INTRADAY,2023-11-24 09:40:00+05:30,1706.4540499999998,597.1738499999766,291.62807759043307,305.5457724095436,106.94102034334024,198.6047520662033,True,False,False,True,True,False,0.3879272342551587,-1.6927733858406513,3.1680724130837223,-2.121844417668317,5.563229200340913,-8.308108266964464,6,31,3.0,1
